iter	Passed	Remaining
803	1447	1972
804	1448	1970
805	1450	1969
806	1452	1967
807	1454	1966
808	1457	1965
809	1459	1963
810	1461	1962
811	1463	1960
812	1465	1958
813	1466	1956
814	1468	1955
815	1470	1953
816	1472	1952
817	1474	1950
818	1476	1948
819	1478	1947
820	1480	1945
821	1481	1943
822	1483	1941
823	1485	1939
824	1487	1938
825	1489	1936
826	1491	1935
827	1493	1933
828	1495	1931
829	1497	1930
830	1498	1928
831	1500	1926
832	1502	1924
833	1504	1923
834	1506	1921
835	1508	1919
836	1510	1918
837	1512	1916
838	1514	1915
839	1516	1914
840	1519	1913
841	1521	1911
842	1523	1910
843	1525	1908
844	1527	1907
845	1530	1906
846	1532	1905
847	1535	1904
848	1536	1902
849	1538	1900
850	1541	1899
851	1544	1899
852	1547	1898
853	1549	1897
854	1551	1895
855	1553	1894
856	1555	1892
857	1557	1891
858	1560	1891
859	1563	1890
860	1565	1889
861	1568	1889
862	1570	1887
863	1572	1885
864	1574	1883
865	1576	1882
866	1578	1881
867	1581	1880
868	1583	1878
869	1585	1877
870	1587	1876
871	1589	1874
872	1591	1872
873	1593	1870
874	1595	1868
875	1597	1867
876	1598	1865
877	1600	1863
878	1602	1861
879	1604	1859
880	1606	1858
881	1608	1856
882	1609	1854
883	1611	1852
884	1613	1850
885	1615	1848
886	1617	1846
887	1618	1844
888	1620	1842
889	1621	1840
890	1625	1840
891	1627	1839
892	1631	1839
893	1633	1838
894	1635	1836
895	1637	1834
896	1639	1832
897	1642	1832
898	1644	1831
899	1646	1829
900	1649	1829
901	1651	1827
902	1653	1825
903	1654	1823
904	1656	1821
905	1658	1819
906	1659	1817
907	1661	1814
908	1662	1812
909	1664	1811
910	1666	1809
911	1668	1807
912	1670	1805
913	1672	1804
914	1674	1802
915	1676	1801
916	1678	1799
917	1680	1797
918	1682	1795
919	1683	1793
920	1685	1791
921	1687	1789
922	1690	1789
923	1692	1787
924	1693	1785
925	1695	1783
926	1698	1782
927	1699	1780
928	1701	1778
929	1703	1776
930	1705	1774
931	1706	1772
932	1708	1770
933	1710	1768
934	1711	1766
935	1713	1764
936	1715	1763
937	1717	1761
938	1719	1759
939	1720	1757
940	1722	1755
941	1723	1753
942	1725	1750
943	1726	1748
944	1728	1746
945	1729	1744
946	1731	1742
947	1733	1740
948	1734	1738
949	1736	1736
950	1737	1734
951	1739	1732
952	1740	1729
953	1742	1727
954	1745	1727
955	1747	1725
956	1750	1725
957	1752	1723
958	1754	1721
959	1755	1719
960	1757	1717
961	1758	1714
962	1760	1712
963	1761	1710
964	1763	1708
965	1764	1706
966	1765	1703
967	1767	1701
968	1769	1699
969	1770	1697
970	1772	1695
971	1773	1693
972	1775	1691
973	1777	1689
974	1778	1687
975	1780	1685
976	1781	1683
977	1784	1682
978	1786	1680
979	1788	1678
980	1790	1677
981	1791	1674
982	1794	1673
983	1795	1671
984	1797	1669
985	1798	1667
986	1800	1665
987	1802	1663
988	1803	1661
989	1805	1659
990	1806	1657
991	1808	1655
992	1810	1653
993	1811	1651
994	1813	1649
995	1814	1647
996	1816	1645
997	1818	1643
998	1820	1641
999	1821	1639
1000	1823	1637
1001	1825	1635
1002	1827	1634
1003	1828	1632
1004	1830	1630
1005	1832	1628
1006	1833	1626
1007	1835	1624
1008	1837	1622
1009	1839	1620
1010	1840	1618
1011	1843	1617
1012	1846	1616
1013	1847	1614
1014	1852	1615
1015	1854	1613
1016	1857	1612
1017	1860	1611
1018	1861	1609
1019	1863	1607
1020	1865	1606
1021	1867	1604
1022	1869	1602
1023	1871	1601
1024	1873	1599
1025	1875	1597
1026	1877	1595
1027	1878	1593
1028	1880	1591
1029	1882	1589
1030	1884	1588
1031	1885	1585
1032	1887	1584
1033	1888	1582
1034	1891	1581
1035	1893	1578
1036	1894	1576
1037	1896	1574
1038	1898	1572
1039	1900	1571
1040	1901	1569
1041	1903	1567
1042	1904	1564
1043	1906	1562
1044	1908	1561
1045	1909	1558
1046	1910	1556
1047	1912	1554
1048	1915	1554
1049	1917	1552
1050	1919	1550
1051	1921	1548
1052	1924	1547
1053	1925	1545
1054	1927	1543
1055	1929	1542
1056	1931	1540
1057	1933	1538
1058	1935	1537
1059	1937	1535
1060	1940	1534
1061	1941	1532
1062	1943	1530
1063	1945	1528
1064	1947	1527
1065	1949	1525
1066	1951	1523
1067	1954	1522
1068	1956	1520
1069	1957	1518
1070	1960	1517
1071	1962	1515
1072	1965	1514
1073	1967	1513
1074	1969	1511
1075	1972	1510
1076	1976	1510
1077	1978	1508
1078	1980	1507
1079	1983	1505
1080	1985	1504
1081	1988	1503
1082	1991	1502
1083	1993	1500
1084	1995	1499
1085	1998	1497
1086	2000	1496
1087	2004	1495
1088	2006	1494
1089	2008	1492
1090	2010	1490
1091	2013	1490
1092	2015	1488
1093	2017	1486
1094	2020	1485
1095	2022	1483
1096	2023	1481
1097	2025	1479
1098	2027	1478
1099	2029	1476
1100	2031	1474
1101	2032	1472
1102	2034	1470
1103	2036	1468
1104	2038	1466
1105	2039	1464
1106	2042	1462
1107	2043	1460
1108	2045	1458
1109	2046	1456
1110	2048	1454
1111	2049	1452
1112	2052	1451
1113	2053	1449
1114	2056	1447
1115	2057	1445
1116	2060	1444
1117	2061	1442
1118	2063	1440
1119	2065	1438
1120	2067	1436
1121	2069	1434
1122	2071	1433
1123	2073	1431
1124	2075	1429
1125	2077	1428
1126	2079	1426
1127	2081	1424
1128	2083	1422
1129	2085	1420
1130	2087	1419
1131	2088	1417
1132	2090	1415
1133	2092	1413
1134	2094	1411
1135	2096	1409
1136	2098	1407
1137	2099	1405
1138	2101	1404
1139	2103	1402
1140	2105	1400
1141	2107	1398
1142	2109	1397
1143	2111	1395
1144	2113	1393
1145	2114	1391
1146	2116	1389
1147	2118	1387
1148	2120	1386
1149	2122	1384
1150	2124	1382
1151	2126	1380
1152	2128	1378
1153	2129	1376
1154	2131	1374
1155	2133	1373
1156	2135	1371
1157	2137	1369
1158	2138	1367
1159	2143	1367
1160	2146	1366
1161	2149	1365
1162	2153	1364
1163	2155	1362
1164	2156	1360
1165	2158	1358
1166	2159	1356
1167	2161	1354
1168	2163	1352
1169	2165	1350
1170	2166	1348
1171	2168	1346
1172	2170	1344
1173	2171	1342
1174	2173	1340
1175	2174	1338
1176	2176	1336
1177	2177	1334
1178	2179	1332
1179	2180	1330
1180	2182	1328
1181	2184	1326
1182	2186	1324
1183	2187	1322
1184	2189	1321
1185	2191	1319
1186	2192	1317
1187	2194	1315
1188	2195	1313
1189	2197	1311
1190	2198	1309
1191	2200	1307
1192	2202	1305
1193	2203	1303
1194	2205	1301
1195	2206	1299
1196	2208	1296
1197	2209	1294
1198	2211	1292
1199	2212	1290
1200	2214	1288
1201	2216	1286
1202	2217	1284
1203	2219	1282
1204	2220	1280
1205	2222	1278
1206	2223	1276
1207	2225	1274
1208	2226	1272
1209	2228	1270
1210	2229	1268
1211	2230	1266
1212	2232	1264
1213	2233	1262
1214	2235	1260
1215	2236	1258
1216	2238	1256
1217	2239	1254
1218	2241	1252
1219	2242	1250
1220	2244	1247
1221	2245	1245
1222	2247	1243
1223	2248	1241
1224	2250	1239
1225	2251	1237
1226	2253	1235
1227	2254	1233
1228	2256	1231
1229	2257	1229
1230	2259	1227
1231	2260	1225
1232	2262	1223
1233	2263	1221
1234	2265	1219
1235	2266	1217
1236	2268	1215
1237	2269	1213
1238	2271	1211
1239	2272	1209
1240	2273	1207
1241	2275	1205
1242	2276	1203
1243	2278	1201
1244	2279	1199
1245	2281	1197
1246	2282	1195
1247	2284	1193
1248	2285	1191
1249	2287	1189
1250	2288	1187
1251	2290	1185
1252	2291	1183
1253	2293	1181
1254	2294	1179
1255	2296	1177
1256	2297	1175
1257	2299	1173
1258	2300	1171
1259	2302	1169
1260	2303	1167
1261	2305	1165
1262	2306	1163
1263	2308	1161
1264	2310	1159
1265	2312	1158
1266	2314	1156
1267	2316	1154
1268	2317	1152
1269	2319	1150
1270	2321	1148
1271	2323	1146
1272	2325	1145
1273	2326	1143
1274	2328	1141
1275	2330	1139
1276	2332	1138
1277	2334	1136
1278	2336	1134
1279	2338	1132
1280	2341	1131
1281	2343	1129
1282	2347	1128
1283	2350	1127
1284	2352	1125
1285	2354	1124
1286	2357	1122
1287	2359	1121
1288	2362	1119
1289	2364	1117
1290	2366	1116
1291	2368	1114
1292	2370	1112
1293	2371	1110
1294	2373	1109
1295	2375	1107
1296	2377	1105
1297	2380	1103
1298	2382	1102
1299	2384	1100
1300	2386	1098
1301	2387	1096
1302	2390	1095
1303	2392	1093
1304	2394	1091
1305	2396	1089
1306	2397	1087
1307	2399	1086
1308	2401	1084
1309	2402	1082
1310	2404	1080
1311	2407	1078
1312	2408	1076
1313	2410	1074
1314	2412	1073
1315	2413	1071
1316	2415	1069
1317	2417	1067
1318	2418	1065
1319	2420	1063
1320	2422	1061
1321	2423	1059
1322	2425	1057
1323	2426	1055
1324	2429	1054
1325	2431	1052
1326	2433	1050
1327	2434	1048
1328	2436	1046
1329	2437	1044
1330	2439	1042
1331	2441	1040
1332	2442	1039
1333	2446	1037
1334	2448	1036
1335	2450	1034
1336	2452	1032
1337	2455	1031
